ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,meta:_source_product_id,meta:_source_url,meta:_source_image_urls,meta:_s3_media_paths
,simple,794634962,Oval Cut 2.52 CARAT E COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1319,1319,,white-diamond,,,,,,,,,,,,2299396,https://www.loosegrowndiamond.com/product/oval-cut-2-52-carat-e-color-vvs2-clarity-lab-grown-diamond-794634962/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,762578660,Round Cut 3.22 CARAT F COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1427,1427,,white-diamond,,,,,,,,,,,,2299526,https://www.loosegrowndiamond.com/product/round-cut-3-22-carat-f-color-vvs2-clarity-lab-grown-diamond-762578660/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,LGD14-30434,Oval Cut 2.72 CARAT E COLOR VVS1 Clarity Lab Grown Diamond,,,,,,,,0,,,1,,,,,,,1107,1107,,white-diamond,,,,,,,,,,,,2299527,https://www.loosegrowndiamond.com/product/oval-cut-2-72-carat-e-color-vvs1-clarity-lab-grown-diamond-lgd14-30434/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,792693163,Round Cut 1.35 CARAT D COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,461,461,,white-diamond,,,,,,,,,,,,2299629,https://www.loosegrowndiamond.com/product/round-cut-1-35-carat-d-color-vvs2-clarity-lab-grown-diamond-792693163/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,804674405,Old mine Cut 3.39 CARAT E COLOR VS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,2779,2779,,white-diamond,,,,,,,,,,,,2299630,https://www.loosegrowndiamond.com/product/old-mine-cut-3-39-carat-e-color-vs1-clarity-lab-grown-diamond-804674405/,https://www.loosegrowndiamond.com/wp-content/uploads/2022/06/old-mine.png,products/2311026/old-mine-71a620778361.png
,simple,360246017,Round Cut 2.17 CARAT D COLOR IF Clarity Lab Grown Diamond,,,,,Buy 2.17 Carat Round gray IF Ideal Diamond. GCAL Certified. SKU: 360246017. Price: $849.00. In Stock.,,,1,,,1,,,,,,,4217,4217,,white-diamond,,,,,,,,,,,,2299745,https://www.loosegrowndiamond.com/diamond/360246017/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,780647633,Oval Cut 3.58 CARAT F COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,2426,2426,,white-diamond,,,,,,,,,,,,2299746,https://www.loosegrowndiamond.com/product/oval-cut-3-58-carat-f-color-vvs2-clarity-lab-grown-diamond-780647633/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,728539832,Asscher Cut 2.55 CARAT D COLOR VVS1 Clarity Lab Grown Diamond,,,,,Buy 2.55 Carat Asscher gray VVS1 Ideal Diamond. IGI Certified. SKU: 728539832. Price: $460.00. In Stock.,,,1,,,1,,,,,,,2657,2657,,white-diamond,,,,,,,,,,,,2299881,https://www.loosegrowndiamond.com/diamond/728539832/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/asscher.png,products/2311682/asscher-75d542b0e4dd.png
,simple,784658485,Round Cut 1.49 CARAT D COLOR VS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,639,639,,white-diamond,,,,,,,,,,,,2299998,https://www.loosegrowndiamond.com/product/round-cut-1-49-carat-d-color-vs1-clarity-lab-grown-diamond-784658485/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,735560103,Emerald Cut 1.93 CARAT F COLOR VVS2 Clarity Lab Grown Diamond,,,,,Buy 1.93 Carat Emerald brown VVS2 Ideal Diamond. IGI Certified. SKU: 735560103. Price: $183.00. In Stock.,,,1,,,1,,,,,,,761,761,,white-diamond,,,,,,,,,,,,2300226,https://www.loosegrowndiamond.com/diamond/735560103/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/emerald.png,products/2315081/emerald-392697f0e8d7.png
